Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TP","Cultures et produits animaux","194","Arabie saoudite","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","4596","","Donnée officielle"
"TP","Cultures et produits animaux","194","Arabie saoudite","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","10423","","Donnée officielle"
"TP","Cultures et produits animaux","9","Argentine","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","5175","","Donnée officielle"
"TP","Cultures et produits animaux","9","Argentine","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","10129","","Donnée officielle"
"TP","Cultures et produits animaux","9","Argentine","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","1851","","Donnée officielle"
"TP","Cultures et produits animaux","9","Argentine","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","6618","","Donnée officielle"
"TP","Cultures et produits animaux","1","Arménie","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","231","","Donnée officielle"
"TP","Cultures et produits animaux","1","Arménie","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","499","","Donnée officielle"
"TP","Cultures et produits animaux","1","Arménie","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","5","","Donnée officielle"
"TP","Cultures et produits animaux","1","Arménie","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","15","","Donnée officielle"
"TP","Cultures et produits animaux","22","Aruba","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","1015","","Donnée officielle"
"TP","Cultures et produits animaux","22","Aruba","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","5199","","Donnée officielle"
"TP","Cultures et produits animaux","10","Australie","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","8478","","Donnée officielle"
"TP","Cultures et produits animaux","10","Australie","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","41339","","Donnée officielle"
"TP","Cultures et produits animaux","10","Australie","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","2797","","Donnée officielle"
"TP","Cultures et produits animaux","10","Australie","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","6162","","Donnée officielle"
"TP","Cultures et produits animaux","11","Autriche","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","30302","","Donnée officielle"
"TP","Cultures et produits animaux","11","Autriche","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","141113","","Donnée officielle"
"TP","Cultures et produits animaux","11","Autriche","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","26809","","Donnée officielle"
"TP","Cultures et produits animaux","11","Autriche","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","124390","","Donnée officielle"
"TP","Cultures et produits animaux","52","Azerbaïdjan","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","1113","","Donnée officielle"
"TP","Cultures et produits animaux","52","Azerbaïdjan","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","3537","","Donnée officielle"
"TP","Cultures et produits animaux","52","Azerbaïdjan","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","0","","Donnée officielle"
"TP","Cultures et produits animaux","52","Azerbaïdjan","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","1","","Donnée officielle"
"TP","Cultures et produits animaux","12","Bahamas","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","397","*","Chiffre non officiel"
"TP","Cultures et produits animaux","12","Bahamas","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","1815","*","Chiffre non officiel"
"TP","Cultures et produits animaux","13","Bahreïn","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","4665","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TP","Cultures et produits animaux","13","Bahreïn","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","22510","","Donnée officielle"
"TP","Cultures et produits animaux","13","Bahreïn","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","454","","Donnée officielle"
"TP","Cultures et produits animaux","13","Bahreïn","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","1614","","Donnée officielle"
"TP","Cultures et produits animaux","16","Bangladesh","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","207","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","16","Bangladesh","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","650","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","16","Bangladesh","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","16","Bangladesh","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","1","*","Chiffre non officiel"
"TP","Cultures et produits animaux","14","Barbade","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","109","","Donnée officielle"
"TP","Cultures et produits animaux","14","Barbade","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","495","","Donnée officielle"
"TP","Cultures et produits animaux","14","Barbade","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","110","","Donnée officielle"
"TP","Cultures et produits animaux","14","Barbade","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","483","","Donnée officielle"
"TP","Cultures et produits animaux","57","Bélarus","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","1700","","Donnée officielle"
"TP","Cultures et produits animaux","57","Bélarus","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","4605","","Donnée officielle"
"TP","Cultures et produits animaux","57","Bélarus","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","3154","","Donnée officielle"
"TP","Cultures et produits animaux","57","Bélarus","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","8204","","Donnée officielle"
"TP","Cultures et produits animaux","255","Belgique","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","43191","","Donnée officielle"
"TP","Cultures et produits animaux","255","Belgique","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","201643","","Donnée officielle"
"TP","Cultures et produits animaux","255","Belgique","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","67508","","Donnée officielle"
"TP","Cultures et produits animaux","255","Belgique","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","336253","","Donnée officielle"
"TP","Cultures et produits animaux","23","Belize","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","84","","Donnée officielle"
"TP","Cultures et produits animaux","23","Belize","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","119","","Donnée officielle"
"TP","Cultures et produits animaux","53","Bénin","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","107","","Donnée officielle"
"TP","Cultures et produits animaux","53","Bénin","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","247","","Donnée officielle"
"TP","Cultures et produits animaux","17","Bermudes","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","868","","Donnée officielle"
"TP","Cultures et produits animaux","17","Bermudes","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","5108","","Donnée officielle"
"TP","Cultures et produits animaux","17","Bermudes","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","0","","Donnée officielle"
"TP","Cultures et produits animaux","17","Bermudes","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","4","","Donnée officielle"
"TP","Cultures et produits animaux","18","Bhoutan","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","0","*","Chiffre non officiel"
"TP","Cultures et produits animaux","18","Bhoutan","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","12","*","Chiffre non officiel"
"TP","Cultures et produits animaux","19","Bolivie (État plurinational de)","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","18","","Donnée officielle"
"TP","Cultures et produits animaux","19","Bolivie (État plurinational de)","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","92","","Donnée officielle"
"TP","Cultures et produits animaux","80","Bosnie-Herzégovine","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","1695","","Donnée officielle"
"TP","Cultures et produits animaux","80","Bosnie-Herzégovine","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","4462","","Donnée officielle"
"TP","Cultures et produits animaux","80","Bosnie-Herzégovine","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","3329","","Donnée officielle"
"TP","Cultures et produits animaux","80","Bosnie-Herzégovine","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","16680","","Donnée officielle"
"TP","Cultures et produits animaux","20","Botswana","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","389","","Donnée officielle"
"TP","Cultures et produits animaux","20","Botswana","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","1180","","Donnée officielle"
"TP","Cultures et produits animaux","20","Botswana","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","0","","Donnée officielle"
"TP","Cultures et produits animaux","20","Botswana","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","0","","Donnée officielle"
"TP","Cultures et produits animaux","21","Brésil","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","0","","Donnée officielle"
"TP","Cultures et produits animaux","21","Brésil","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","4","","Donnée officielle"
"TP","Cultures et produits animaux","21","Brésil","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","111316","","Donnée officielle"
"TP","Cultures et produits animaux","21","Brésil","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","306763","","Donnée officielle"
"TP","Cultures et produits animaux","26","Brunéi Darussalam","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","1608","","Donnée officielle"
"TP","Cultures et produits animaux","26","Brunéi Darussalam","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","5430","","Donnée officielle"
"TP","Cultures et produits animaux","26","Brunéi Darussalam","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","5","","Donnée officielle"
"TP","Cultures et produits animaux","26","Brunéi Darussalam","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","21","","Donnée officielle"
"TP","Cultures et produits animaux","27","Bulgarie","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","3252","","Donnée officielle"
"TP","Cultures et produits animaux","27","Bulgarie","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","7075","","Donnée officielle"
"TP","Cultures et produits animaux","27","Bulgarie","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","2288","","Donnée officielle"
"TP","Cultures et produits animaux","27","Bulgarie","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","10044","","Donnée officielle"
"TP","Cultures et produits animaux","233","Burkina Faso","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","91","","Donnée officielle"
"TP","Cultures et produits animaux","233","Burkina Faso","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","68","","Donnée officielle"
"TP","Cultures et produits animaux","29","Burundi","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","1","","Donnée officielle"
"TP","Cultures et produits animaux","29","Burundi","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","1","","Donnée officielle"
"TP","Cultures et produits animaux","35","Cabo Verde","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","1039","","Donnée officielle"
"TP","Cultures et produits animaux","35","Cabo Verde","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","2710","","Donnée officielle"
"TP","Cultures et produits animaux","115","Cambodge","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","2663","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","115","Cambodge","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","5264","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","32","Cameroun","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","105","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","32","Cameroun","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","323","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","33","Canada","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","34567","","Donnée officielle"
"TP","Cultures et produits animaux","33","Canada","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","156655","","Donnée officielle"
"TP","Cultures et produits animaux","33","Canada","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","37124","","Donnée officielle"
"TP","Cultures et produits animaux","33","Canada","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","210774","","Donnée officielle"
"TP","Cultures et produits animaux","40","Chili","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","7332","","Donnée officielle"
"TP","Cultures et produits animaux","40","Chili","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","20186","","Donnée officielle"
"TP","Cultures et produits animaux","40","Chili","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","26474","","Donnée officielle"
"TP","Cultures et produits animaux","40","Chili","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","44263","","Donnée officielle"
"TP","Cultures et produits animaux","351","Chine","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","94941","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","351","Chine","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","221876","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","351","Chine","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","307371","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","351","Chine","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","1246456","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"TP","Cultures et produits animaux","96","Chine - RAS de Hong-Kong","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","92837","","Donnée officielle"
"TP","Cultures et produits animaux","96","Chine - RAS de Hong-Kong","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","211875","","Donnée officielle"
"TP","Cultures et produits animaux","96","Chine - RAS de Hong-Kong","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","10348","","Donnée officielle"
"TP","Cultures et produits animaux","96","Chine - RAS de Hong-Kong","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","18609","","Donnée officielle"
"TP","Cultures et produits animaux","128","Chine - RAS de Macao","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","1406","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","128","Chine - RAS de Macao","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","7225","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","41","Chine, continentale","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","134","","Donnée officielle"
"TP","Cultures et produits animaux","41","Chine, continentale","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","582","","Donnée officielle"
"TP","Cultures et produits animaux","41","Chine, continentale","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","296968","","Donnée officielle"
"TP","Cultures et produits animaux","41","Chine, continentale","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","1227478","","Donnée officielle"
"TP","Cultures et produits animaux","214","Chine, Taiwan Province de","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","563","","Donnée officielle"
"TP","Cultures et produits animaux","214","Chine, Taiwan Province de","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","2195","","Donnée officielle"
"TP","Cultures et produits animaux","214","Chine, Taiwan Province de","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","55","","Donnée officielle"
"TP","Cultures et produits animaux","214","Chine, Taiwan Province de","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","369","","Donnée officielle"
"TP","Cultures et produits animaux","50","Chypre","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","3305","","Donnée officielle"
"TP","Cultures et produits animaux","50","Chypre","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","14322","","Donnée officielle"
"TP","Cultures et produits animaux","50","Chypre","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","3","","Donnée officielle"
"TP","Cultures et produits animaux","50","Chypre","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","13","","Donnée officielle"
"TP","Cultures et produits animaux","44","Colombie","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","18431","","Donnée officielle"
"TP","Cultures et produits animaux","44","Colombie","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","20858","","Donnée officielle"
"TP","Cultures et produits animaux","44","Colombie","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","0","","Donnée officielle"
"TP","Cultures et produits animaux","44","Colombie","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","1","","Donnée officielle"
"TP","Cultures et produits animaux","45","Comores","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","21","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","45","Comores","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","53","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","46","Congo","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","61","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","46","Congo","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","272","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","48","Costa Rica","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","2129","","Donnée officielle"
"TP","Cultures et produits animaux","48","Costa Rica","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","8215","","Donnée officielle"
"TP","Cultures et produits animaux","48","Costa Rica","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","1698","","Donnée officielle"
"TP","Cultures et produits animaux","48","Costa Rica","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","5768","","Donnée officielle"
"TP","Cultures et produits animaux","107","Côte d'Ivoire","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","220","","Donnée officielle"
"TP","Cultures et produits animaux","107","Côte d'Ivoire","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","985","","Donnée officielle"
"TP","Cultures et produits animaux","107","Côte d'Ivoire","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","0","","Donnée officielle"
"TP","Cultures et produits animaux","107","Côte d'Ivoire","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","2","","Donnée officielle"
"TP","Cultures et produits animaux","98","Croatie","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","5665","","Donnée officielle"
"TP","Cultures et produits animaux","98","Croatie","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","20242","","Donnée officielle"
"TP","Cultures et produits animaux","98","Croatie","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","7199","","Donnée officielle"
"TP","Cultures et produits animaux","98","Croatie","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","29527","","Donnée officielle"
"TP","Cultures et produits animaux","49","Cuba","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","2564","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","49","Cuba","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","5601","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","54","Danemark","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","83519","","Donnée officielle"
"TP","Cultures et produits animaux","54","Danemark","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","162915","","Donnée officielle"
"TP","Cultures et produits animaux","54","Danemark","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","61093","","Donnée officielle"
"TP","Cultures et produits animaux","54","Danemark","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","237624","","Donnée officielle"
"TP","Cultures et produits animaux","72","Djibouti","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","69","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","72","Djibouti","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","274","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","55","Dominique","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","70","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","55","Dominique","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","296","R","Données estimées en utilisant les données des pays partenaires"
"TP","Cultures et produits animaux","59","Égypte","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","178","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TP","Cultures et produits animaux","59","Égypte","5622","Importations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","797","","Donnée officielle"
"TP","Cultures et produits animaux","59","Égypte","5910","Exportations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","1512","Im","Données de la FAO basées sur une méthodologie d'imputation"
"TP","Cultures et produits animaux","59","Égypte","5922","Exportations - Valeur","1061","Viande, poulet en boîte","2018","2018","1000 US$","6163","","Donnée officielle"
"TP","Cultures et produits animaux","60","El Salvador","5610","Importations - Quantité","1061","Viande, poulet en boîte","2018","2018","tonnes","4780","","Donnée officielle"
